Product_Handle,Product_Title,Royalty_Level,Sub_Product_Type,Size,Paper_Type,Paper_Grammage,Lamination_or_Color,Specialty
brochures,Brochures,,A4 Double Side Brochure/Flyer,"8.25"" x 11.69""",Matte Paper,150 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,68 Gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,68 Gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,68 Gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,90 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,90 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,90 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,113 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,113 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,113 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,125 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,125 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,125 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,150 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,150 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Local,150 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,68 Gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,68 Gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,68 Gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,90 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,90 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,90 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,113 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,113 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,113 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,125 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,125 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,125 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,150 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,150 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Plain Paper,150 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,68 Gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,68 Gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,68 Gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,90 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,90 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,90 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,113 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,113 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,113 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,125 gsm,,MonoFold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,125 gsm,,Bifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,125 gsm,,Trifold
brochures,Brochures,,A5 Single Side Brochre/ Flyer,"5.8"" x 8.25""",Art Paper,150 gsm,,MonoFold
